employee,reader,start,end,delta,success
1,8,2022-06-19T19:11:52Z,2022-06-19T19:11:52Z,296.9718ms,True
1,9,2022-06-19T19:11:52Z,2022-06-19T19:11:53Z,301.9388ms,True
1,10,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,263.994ms,True
1,1,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,259.6954ms,True
1,9,2022-06-19T19:11:53Z,2022-06-19T19:11:53Z,256.4878ms,True
1,11,2022-06-19T19:11:53Z,2022-06-19T19:11:54Z,273.7921ms,True
1,16,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,254.4896ms,True
1,12,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,266.4745ms,True
1,10,2022-06-19T19:11:54Z,2022-06-19T19:11:54Z,273.4539ms,True
1,3,2022-06-19T19:11:54Z,2022-06-19T19:11:55Z,273.8265ms,True
1,4,2022-06-19T19:11:55Z,2022-06-19T19:11:55Z,292.9644ms,True
1,2,2022-06-19T19:11:55Z,2022-06-19T19:11:55Z,278.5108ms,True
1,8,2022-06-19T19:11:55Z,2022-06-19T19:11:56Z,294.8365ms,True
1,9,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,254.9735ms,True
1,10,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,260.2232ms,True
1,1,2022-06-19T19:11:56Z,2022-06-19T19:11:56Z,274.3028ms,True
1,9,2022-06-19T19:11:56Z,2022-06-19T19:11:57Z,269.9323ms,True
1,11,2022-06-19T19:11:57Z,2022-06-19T19:11:57Z,264.8438ms,True
1,16,2022-06-19T19:11:57Z,2022-06-19T19:11:57Z,249.6006ms,True
1,12,2022-06-19T19:11:57Z,2022-06-19T19:11:57Z,264.177ms,True
1,10,2022-06-19T19:11:57Z,2022-06-19T19:11:58Z,276.4995ms,True
1,3,2022-06-19T19:11:58Z,2022-06-19T19:11:58Z,265.7024ms,True
1,4,2022-06-19T19:11:58Z,2022-06-19T19:11:58Z,269.1756ms,True
1,2,2022-06-19T19:11:58Z,2022-06-19T19:11:58Z,264.4951ms,True
1,8,2022-06-19T19:11:58Z,2022-06-19T19:11:59Z,259.8278ms,True
1,9,2022-06-19T19:11:59Z,2022-06-19T19:11:59Z,286.2307ms,True
1,10,2022-06-19T19:11:59Z,2022-06-19T19:11:59Z,255.7589ms,True
1,1,2022-06-19T19:11:59Z,2022-06-19T19:12:00Z,272.1912ms,True
1,9,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,271.9085ms,True
1,11,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,266.0702ms,True
1,16,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,258.4868ms,True
1,12,2022-06-19T19:12:00Z,2022-06-19T19:12:01Z,264.6738ms,True
1,10,2022-06-19T19:12:01Z,2022-06-19T19:12:01Z,264.7536ms,True
1,3,2022-06-19T19:12:01Z,2022-06-19T19:12:01Z,269.6533ms,True
1,4,2022-06-19T19:12:01Z,2022-06-19T19:12:01Z,264.2964ms,True
1,2,2022-06-19T19:12:01Z,2022-06-19T19:12:02Z,264.6479ms,True
1,8,2022-06-19T19:12:02Z,2022-06-19T19:12:02Z,259.032ms,True
1,9,2022-06-19T19:12:02Z,2022-06-19T19:12:02Z,260.8792ms,True
1,10,2022-06-19T19:12:02Z,2022-06-19T19:12:02Z,254.7873ms,True
1,1,2022-06-19T19:12:02Z,2022-06-19T19:12:03Z,285.8513ms,True
1,9,2022-06-19T19:12:03Z,2022-06-19T19:12:03Z,288.5088ms,True
1,11,2022-06-19T19:12:03Z,2022-06-19T19:12:03Z,270.606ms,True
1,16,2022-06-19T19:12:03Z,2022-06-19T19:12:04Z,257.8916ms,True
